numero_dpe,date_etablissement_dpe,annee_construction,periode_construction,type_batiment,etiquette_dpe,etiquette_ges,adresse_ban,code_postal_ban,nom_commune_ban,coordonnee_cartographique_x_ban,coordonnee_cartographique_y_ban,surface_habitable_logement,hauteur_sous_plafond,qualite_isolation_enveloppe,qualite_isolation_murs,qualite_isolation_menuiseries,qualite_isolation_plancher_bas,deperditions_enveloppe,deperditions_murs,type_energie_principale_chauffage,conso_5_usages_par_m2_ep,emission_ges_5_usages,cout_total_5_usages,classe_inertie_batiment,zone_climatique,nombre_niveau_logement,nombre_niveau_immeuble
2675E0004081B,2026-01-02,,avant 1948,appartement,E,D,62 Rue du Dessous des Berges 75013 Paris,75013,Paris,654022.35,6858819.47,27.7,2.5,insuffisante,insuffisante,moyenne,insuffisante,23904.0,11877.2,Réseau de Chauffage urbain,319.0,1176.8,981.3,Lourde,H1a,1.0,6.0
2675E0046936I,2026-01-08,,avant 1948,appartement,E,C,32 Rue Eugène Süe 75018 Paris,75018,Paris,652217.07,6865913.78,43.6,2.6,moyenne,insuffisante,bonne,très bonne,138.8,62.8,Électricité,309.0,538.3,1519.7,Moyenne,H1a,1.0,
2675E0044676K,2026-01-08,,avant 1948,appartement,E,C,1 Avenue Taillade 75020 Paris,75020,Paris,655537.17,6864042.95,55.0,2.8,insuffisante,insuffisante,bonne,très bonne,168.7,82.4,Électricité,298.0,657.5,1825.2,Moyenne,H1a,1.0,
2675E0023773L,2026-01-06,,1948-1974,appartement,E,D,9 Rue du Chevaleret 75013 Paris,75013,Paris,654340.75,6858595.23,30.0,2.5,insuffisante,insuffisante,bonne,très bonne,16362.9,10808.1,Réseau de Chauffage urbain,293.0,1543.9,802.2,Très lourde,H1a,1.0,10.0
2575E1200511O,2025-04-08,1969.0,1948-1974,appartement,C,C,9 Rue des Périchaux 75015 Paris,75015,Paris,648436.51,6859170.37,58.0,2.5,insuffisante,insuffisante,bonne,insuffisante,33053.9,13690.3,Réseau de Chauffage urbain,176.7,1342.7,946.3,Moyenne,H1a,1.0,16.0
2675E0034950I,2026-01-07,,1948-1974,appartement,C,C,135 Avenue Gambetta 75020 Paris,75020,Paris,656118.56,6863377.66,97.3,2.5,insuffisante,insuffisante,très bonne,très bonne,154.2,58.5,Gaz naturel,154.0,2121.9,1606.2,Très lourde,H1a,1.0,
2675E0067100W,2026-01-10,,avant 1948,appartement,D,B,112 Rue Olivier de Serres 75015 Paris,75015,Paris,648071.67,6859271.14,21.0,2.3,très bonne,insuffisante,insuffisante,très bonne,57.6,23.1,Électricité,285.0,236.0,757.1,Légère,H1a,1.0,
2675E0021821J,2026-01-06,,avant 1948,appartement,D,D,73 Rue de la Convention 75015 Paris,75015,Paris,647499.39,6860532.28,83.0,2.5,insuffisante,insuffisante,très bonne,insuffisante,6789.0,3906.4,Réseau de Chauffage urbain,226.0,3249.7,1722.7,Moyenne,H1a,1.0,8.0
2675E0006462Q,2026-01-04,,avant 1948,appartement,G,C,47 Rue Greneta 75002 Paris,75002,Paris,652202.42,6863010.56,14.7,2.5,insuffisante,insuffisante,insuffisante,très bonne,121.6,68.3,Électricité,765.0,452.1,1283.8,Légère,H1a,1.0,
2175E0867628F,2021-12-07,1947.0,avant 1948,appartement,D,B,66 Rue Barrault 75013 Paris,75013,Paris,652021.55,6858575.04,30.0,2.5,insuffisante,insuffisante,bonne,très bonne,72.5,41.1,Électricité,251.4,299.5,724.5,Moyenne,H1a,1.0,
2675E0018096C,2026-01-05,,avant 1948,appartement,E,E,73 Rue de la Convention 75015 Paris,75015,Paris,647499.39,6860532.28,51.5,2.5,insuffisante,insuffisante,très bonne,insuffisante,16185.0,9298.7,Réseau de Chauffage urbain,289.0,2621.8,1357.8,Lourde,H1a,1.0,7.0
